rawGx,rawGy,rawGz,rawAx,rawAy,rawAz,procGx,procGy,procGz,procAx,procAy,procAz,time,score,prompt,response
-72,79,-115,2,0,0,23,-115,303,,,,,,,
-70,53,-145,0,0,0,18,-110,308,,,,,,,
-85,57,-139,0,0,0,13,-105,312,,,,,,,
-92,17,-146,-1,1,1,6,-100,318,,,,,,,
-52,-6,-76,0,0,0,2,-96,323,,,,,,,
-6,-43,-80,0,1,2,-1,-95,328,,,,,,,
104,-118,-108,-1,1,0,-6,-98,336,,,,,,,
82,-196,-131,-2,3,1,-13,-101,353,,,,,,,
147,-173,-112,0,1,1,-22,-104,29,,,,,,,
81,-131,-61,0,0,-1,-27,-108,27,,,,,,,
-11,-203,-90,1,0,1,-33,-104,41,,,,,,,
45,-145,-69,0,0,0,-39,-100,54,,,,,,,
80,-153,-65,2,-1,2,-42,-97,64,,,,,,,
102,-99,-94,-1,-1,0,-47,-96,77,,,,,,,
48,-44,-19,0,0,0,-50,-97,85,,,,,,,
-59,-2,-33,-1,1,-1,-51,-96,85,,,,,,,
51,-36,-158,0,0,-1,-56,-95,91,,,,,,,
6,-38,-103,-2,-5,0,-63,-95,101,,,,,,,
38,-23,-179,1,-1,2,-71,-94,110,,,,,,,
66,5,-120,0,-1,0,-78,-102,120,,,,,,,
58,12,-138,1,0,1,-83,-174,129,,,,,,,
57,86,-120,0,0,0,-84,178,139,,,,,,,
51,149,-21,0,1,2,-76,158,146,,,,,,,
3,37,25,1,2,-2,-73,166,146,,,,,,,
55,-17,-12,-1,1,0,-73,164,148,,,,,,,
51,-17,14,0,0,0,-74,161,152,,,,,,,
12,-10,19,0,0,0,-75,162,153,,,,,,,
15,-46,20,0,0,0,-76,163,152,,,,,,,
-13,-11,31,0,0,3,-78,168,150,,,,,,,
-14,-13,19,1,1,0,-79,176,148,,,,,,,
14,44,9,0,0,0,-77,175,149,,,,,,,
6,7,12,-2,0,-2,-76,178,149,,,,,,,
9,0,-12,0,0,1,-76,178,150,,,,,,,
17,-5,-31,2,0,0,-76,172,152,,,,,,,
-47,-76,5,1,-1,1,-79,169,151,,,,,,,
-77,-57,6,1,0,0,-82,171,146,,,,,,,
-49,-68,27,0,0,0,-85,-179,142,,,,,,,
-74,-55,10,0,0,0,-87,-178,138,,,,,,,
-52,-80,-12,0,0,0,-87,-1,135,,,,,,,
5,35,-14,-1,-3,0,-87,0,136,,,,,,,
-59,51,29,0,1,-2,-89,-178,133,,,,,,,
-24,62,6,0,0,2,-86,-178,131,,,,,,,
-86,39,-38,0,0,0,-84,-179,129,,,,,,,
-111,4,-29,0,-2,0,-83,179,124,,,,,,,
-142,12,-54,0,1,0,-83,172,119,,,,,,,
-151,-39,-48,0,0,1,-82,151,113,,,,,,,
-118,-6,-15,0,1,0,-83,176,107,,,,,,,
-98,-5,-45,0,0,0,-82,136,104,,,,,,,
-79,1,-2,0,0,0,-82,136,100,,,,,,,
-76,48,29,0,0,1,-81,149,80,,,,,,,
-69,50,32,1,0,0,-79,169,90,,,,,,,
-30,11,39,0,0,1,-78,-179,86,,,,,,,
-31,-5,18,0,0,0,-78,-171,83,,,,,,,
-66,-59,-11,0,0,1,-80,-167,79,,,,,,,
-35,-53,-22,0,2,0,-82,-165,76,,,,,,,
7,-23,-8,-1,0,1,-84,-179,77,,,,,,,
4,11,-4,0,0,0,-84,-179,77,,,,,,,
6,21,-15,0,0,0,-84,-179,77,,,,,,,
2,28,-11,0,0,0,-82,175,78,,,,,,,
-14,21,13,1,0,0,-81,175,78,,,,,,,
47,76,19,0,-1,0,-78,-177,77,,,,,,,
18,25,11,1,1,0,-76,-175,78,,,,,,,
31,0,-24,0,0,1,-76,-177,80,,,,,,,
-5,28,-87,1,0,0,-75,169,83,,,,,,,
30,38,-31,0,-1,0,-72,160,87,,,,,,,
-2,-2,19,0,0,0,-71,162,88,,,,,,,
-7,-50,8,0,0,0,-73,161,86,,,,,,,
-5,-12,127,0,-2,0,-75,174,82,,,,,,,
-22,-32,121,0,0,1,-75,-157,74,,,,,,,
6,-18,190,0,0,0,-72,-133,67,,,,,,,
-19,-37,179,0,0,0,-65,-116,58,,,,,,,
-23,-76,200,0,0,-2,-57,-104,49,,,,,,,
-115,-114,119,2,3,1,-50,-92,41,,,,,,,
-177,-141,5,2,0,2,-46,-78,37,,,,,,,
-232,-193,-223,0,0,0,-49,-55,41,,,,,,,
-149,-138,-84,-4,-1,-1,-50,-31,48,,,,,,,
-91,-5,-85,1,-1,0,-48,-19,50,,,,,,,
-118,18,-61,1,-2,1,-49,-10,51,,,,,,,
-235,-44,-160,0,0,0,-49,5,52,,,,,,,
-154,-93,-170,0,1,0,-43,21,55,,,,,,,
-251,-86,-206,0,-1,-2,-34,36,60,,,,,,,
-233,-4,-206,-2,2,1,-25,52,66,,,,,,,
-150,24,-138,0,0,0,-20,62,71,,,,,,,
-165,-16,-177,0,0,-1,-12,71,78,,,,,,,
-139,-46,-177,0,0,0,-4,78,84,,,,,,,
-51,6,-70,-1,-1,0,1,81,90,,,,,,,
19,-41,-59,-2,1,0,4,81,92,,,,,,,
169,-76,-27,0,0,0,6,75,91,,,,,,,
292,-164,-9,0,1,1,8,62,85,,,,,,,
203,-184,1,0,0,0,13,53,79,,,,,,,
168,-180,-57,1,0,0,20,46,75,,,,,,,
93,-120,-39,0,0,0,26,42,73,,,,,,,
152,-112,-58,0,1,-3,32,37,73,,,,,,,
172,-94,-56,-1,0,0,38,29,71,,,,,,,
119,-70,-39,0,0,0,43,22,70,,,,,,,
124,-74,-36,0,0,0,46,16,69,,,,,,,
110,-66,-57,0,0,0,50,9,68,,,,,,,
68,-54,-61,0,0,0,53,1,69,,,,,,,
34,-26,-47,0,0,0,55,-4,71,,,,,,,
36,-36,-38,0,0,0,56,-9,72,,,,,,,
0,-15,-8,-2,0,0,57,-12,73,,,,,,,
39,-16,6,2,0,0,58,-13,72,,,,,,,
16,6,-25,2,1,0,58,-16,72,,,,,,,
23,-23,29,0,0,0,58,-17,71,,,,,,,
4,-22,28,-1,0,0,60,-15,70,,,,,,,
38,-48,47,0,0,0,62,-13,67,,,,,,,
29,-20,8,-1,-1,-1,64,-13,64,,,,,,,
26,7,-11,0,0,-1,64,-15,64,,,,,,,
14,-13,-10,1,0,0,64,-17,64,,,,,,,
-23,-12,-7,3,-1,-1,65,-18,64,,,,,,,
-23,-45,-20,1,0,0,66,-20,66,,,,,,,
-13,-19,-15,0,0,1,68,-22,67,,,,,,,
-7,5,-9,0,1,1,67,-24,69,,,,,,,
12,28,12,0,0,1,66,-22,68,,,,,,,
16,28,35,-1,0,0,65,-19,66,,,,,,,
5,-6,30,-1,0,0,66,-16,63,,,,,,,
-2,-25,23,0,0,0,67,-14,62,,,,,,,
-13,-36,-5,0,0,0,68,-14,62,,,,,,,
-6,-1,-19,0,0,0,69,-17,64,,,,,,,
3,6,-9,0,0,0,68,-18,64,,,,,,,
-1,7,0,0,0,0,68,-18,64,,,,,,,
0,-5,-5,0,0,0,68,-18,64,,,,,,,
0,-11,1,0,0,0,68,-19,64,,,,,,,
0,-10,8,0,0,0,69,-18,64,,,,,,,
16,11,10,0,0,0,69,-18,63,,,,,,,
17,4,6,0,0,0,69,-17,62,,,,,,,
-2,-16,11,0,0,0,70,-16,61,,,,,,,
7,-3,-20,0,0,0,70,-17,61,,,,,,,
0,-8,2,0,0,2,70,-19,62,,,,,,,
9,6,-2,0,0,0,70,-19,61,,,,,,,
4,-10,-16,0,0,0,70,-21,62,,,,,,,
4,-11,-9,0,0,0,70,-23,62,,,,,,,
18,-11,-22,0,0,0,71,-27,62,,,,,,,
46,-3,-46,0,0,0,70,-32,63,,,,,,,
58,-19,-57,0,0,0,69,-42,64,,,,,,,
85,4,-32,0,1,1,67,-51,63,,,,,,,
109,2,16,1,1,2,67,-54,59,,,,,,,
214,-48,-27,0,-1,0,67,-66,52,,,,,,,
136,-92,-36,-1,-2,-3,66,-85,49,,,,,,,
54,-50,-40,0,-2,0,65,-97,49,,,,,,,
115,-120,-35,0,0,0,61,-111,48,,,,,,,
137,-130,1,0,0,0,57,-127,45,,,,,,,
50,-94,33,0,0,0,55,-137,44,,,,,,,
24,-57,39,-1,0,0,54,-143,42,,,,,,,
85,-35,20,0,0,0,53,-149,36,,,,,,,
105,-45,18,0,0,0,52,-156,28,,,,,,,
134,-60,6,1,0,1,49,-164,17,,,,,,,
113,-66,0,0,0,1,46,-171,6,,,,,,,
57,-6,-5,0,-2,1,45,-174,358,,,,,,,
-14,13,-23,0,-1,0,45,-173,359,,,,,,,
0,-30,-49,0,0,-1,45,-171,2,,,,,,,
-7,10,-4,1,1,1,44,-170,4,,,,,,,
-13,20,-1,-1,0,0,45,-170,5,,,,,,,
-20,26,-1,1,-1,0,46,-168,6,,,,,,,
-13,-18,-8,1,0,0,46,-167,8,,,,,,,
-19,-7,11,0,1,0,45,-167,10,,,,,,,
3,1,8,0,0,0,45,-167,10,,,,,,,
-15,30,17,0,0,0,46,-167,10,,,,,,,
-23,1,5,0,-1,0,47,-167,12,,,,,,,
-45,8,-6,0,0,0,47,-165,16,,,,,,,
-94,40,5,0,0,0,48,-161,24,,,,,,,
-144,93,14,0,0,0,52,-154,33,,,,,,,
-129,108,8,0,0,0,57,-144,41,,,,,,,
-27,80,-18,0,-1,0,60,-135,44,,,,,,,
-39,23,-9,2,-1,1,61,-130,46,,,,,,,
5,-5,-21,0,0,0,61,-127,48,,,,,,,
77,-34,-15,0,0,0,60,-130,46,,,,,,,
63,-2,-36,0,1,-1,58,-134,43,,,,,,,
32,-10,-6,1,0,0,57,-135,41,,,,,,,
21,-17,-1,0,0,0,56,-137,40,,,,,,,
-46,10,25,1,-2,0,57,-137,41,,,,,,,
-40,-11,12,0,0,1,58,-136,43,,,,,,,
6,-30,-9,0,0,0,57,-136,45,,,,,,,
3,-14,-3,0,0,0,56,-137,45,,,,,,,
7,-4,7,0,0,0,55,-138,45,,,,,,,
8,0,6,0,0,0,56,-139,44,,,,,,,
3,0,5,0,0,0,56,-140,43,,,,,,,
-16,11,4,0,0,0,56,-139,43,,,,,,,
-25,4,8,0,0,0,57,-138,45,,,,,,,
-18,0,1,0,0,0,57,-137,46,,,,,,,
-31,0,7,0,0,0,57,-136,47,,,,,,,
-58,-7,6,0,0,0,57,-135,50,,,,,,,
-110,-9,-7,0,0,0,57,-131,56,,,,,,,
-93,-10,-20,0,0,0,56,-126,63,,,,,,,
-60,-16,-3,0,0,0,55,-123,68,,,,,,,
-29,0,12,0,0,0,55,-122,70,,,,,,,
-12,3,3,0,-1,0,55,-121,71,,,,,,,
0,15,8,0,0,0,56,-121,70,,,,,,,
22,-2,-2,0,0,0,56,-121,69,,,,,,,
16,5,3,0,0,0,56,-122,67,,,,,,,
11,2,3,0,0,0,57,-123,66,,,,,,,
5,4,4,0,0,0,57,-123,66,,,,,,,
2,2,3,0,0,0,57,-123,65,,,,,,,
0,1,-2,0,0,0,57,-123,65,,,,,,,
2,0,5,0,0,0,57,-123,65,,,,,,,
12,3,1,0,0,0,58,-123,64,,,,,,,
6,1,6,0,0,0,58,-124,63,,,,,,,
19,3,4,0,0,0,58,-125,62,,,,,,,
25,10,16,0,0,0,59,-126,59,,,,,,,
49,10,19,0,0,0,60,-128,55,,,,,,,
13,29,25,1,0,-1,61,-129,52,,,,,,,
-2,15,29,0,0,0,63,-129,50,,,,,,,
8,0,-5,0,-1,0,64,-130,49,,,,,,,
-164,19,-28,1,-4,0,63,-125,57,,,,,,,
-398,1,-57,0,-4,0,61,-107,78,,,,,,,
-453,53,-82,-1,0,0,58,-82,100,,,,,,,
-387,109,-127,0,0,-1,52,-59,117,,,,,,,
-331,56,-125,-3,1,2,44,-43,143,,,,,,,
-359,23,-38,-2,-1,0,40,-28,137,,,,,,,
-290,56,-33,2,0,3,38,-12,144,,,,,,,
-100,74,-17,0,0,0,35,-5,148,,,,,,,
-24,78,-31,0,0,1,31,-3,149,,,,,,,
28,43,-30,0,0,-1,28,-5,151,,,,,,,
39,43,-26,0,1,0,26,-6,151,,,,,,,
27,18,-8,1,1,-1,24,-9,152,,,,,,,
18,-24,0,0,-1,0,24,-10,152,,,,,,,
81,-96,24,0,1,-1,28,-12,150,,,,,,,
103,-103,50,1,0,0,33,-17,148,,,,,,,
81,-66,21,0,1,0,38,-21,145,,,,,,,
70,-56,19,0,0,0,40,-25,143,,,,,,,
94,-96,31,0,0,1,44,-29,141,,,,,,,
81,-85,3,0,0,-2,49,-35,139,,,,,,,
46,-9,18,0,0,-1,50,-39,137,,,,,,,
-9,-3,-10,0,0,-1,50,-39,137,,,,,,,
20,-44,-61,0,0,1,50,-42,139,,,,,,,
-143,23,-113,0,0,0,47,-44,145,,,,,,,
-173,97,-44,0,0,-1,42,-36,153,,,,,,,
-201,91,-21,0,0,0,37,-25,156,,,,,,,
-142,74,20,1,1,0,34,-16,158,,,,,,,
-76,81,47,0,0,0,30,-9,157,,,,,,,
-23,48,52,0,0,0,27,-6,155,,,,,,,
-3,28,2,0,0,0,26,-4,154,,,,,,,
58,-10,8,0,0,0,25,-6,153,,,,,,,
75,-50,-4,0,0,0,27,-10,152,,,,,,,
71,-26,-16,0,0,0,29,-14,152,,,,,,,
57,-29,3,0,0,0,30,-17,152,,,,,,,
38,-17,-3,0,0,0,31,-19,152,,,,,,,
35,-8,4,0,0,0,32,-21,151,,,,,,,
27,-15,1,0,0,0,32,-22,151,,,,,,,
19,-4,1,0,0,0,33,-23,150,,,,,,,
11,-11,-6,0,0,0,33,-25,150,,,,,,,
13,-6,-3,0,0,0,34,-26,150,,,,,,,
21,-15,-5,0,0,0,34,-27,150,,,,,,,
0,-15,11,0,0,0,35,-28,150,,,,,,,
-37,-55,28,0,1,1,38,-26,150,,,,,,,
-73,-77,0,0,0,0,41,-24,152,,,,,,,
-50,-89,34,0,0,0,45,-21,152,,,,,,,
24,-118,0,0,0,-1,51,-24,152,,,,,,,
-8,-85,-17,0,0,-1,53,-27,154,,,,,,,
6,-61,4,0,0,-1,56,-30,155,,,,,,,
-25,-64,35,-1,-1,-1,59,-29,154,,,,,,,
-48,-36,57,0,0,0,63,-24,153,,,,,,,
-41,4,4,0,0,0,64,-21,154,,,,,,,
-38,-24,1,0,0,0,64,-20,156,,,,,,,
-43,-10,41,0,0,0,66,-16,156,,,,,,,
-42,10,-2,0,0,-1,65,-12,157,,,,,,,
-63,36,4,0,1,-1,64,-9,159,,,,,,,
-105,63,61,0,0,1,62,-1,160,,,,,,,
-111,69,44,1,1,0,59,8,160,,,,,,,
-206,120,30,-1,1,1,54,17,163,,,,,,,
-257,139,64,0,-2,0,47,28,168,,,,,,,
-187,113,75,0,0,-1,40,38,171,,,,,,,
-82,81,75,0,0,0,33,44,170,,,,,,,
-100,63,62,1,1,0,29,48,170,,,,,,,
-74,5,52,0,0,0,26,53,169,,,,,,,
2,-61,-7,2,1,0,26,55,167,,,,,,,
49,-55,-42,0,0,0,29,54,167,,,,,,,
-4,-50,-49,0,0,2,33,53,168,,,,,,,
-50,-24,-24,0,0,0,35,56,169,,,,,,,
-8,-28,-19,0,0,0,36,57,170,,,,,,,
-17,-2,-18,0,1,0,38,58,171,,,,,,,
0,1,-19,0,2,-2,38,58,172,,,,,,,
17,-18,-19,0,1,0,39,58,173,,,,,,,
17,-28,3,0,0,0,40,57,171,,,,,,,
-12,-32,-7,0,-2,1,41,57,170,,,,,,,
-45,-22,-22,0,0,0,43,60,171,,,,,,,
-22,-1,-9,0,1,-1,44,61,172,,,,,,,
-24,6,3,0,0,-1,44,62,173,,,,,,,
-6,10,9,0,0,0,43,62,173,,,,,,,
12,10,3,0,0,0,42,62,173,,,,,,,
7,13,1,0,0,0,42,61,173,,,,,,,
25,4,-1,0,0,0,42,59,173,,,,,,,
9,10,1,0,0,0,42,58,172,,,,,,,
11,7,8,0,0,0,41,58,172,,,,,,,
28,-5,-8,0,0,0,42,56,171,,,,,,,
67,-11,-11,0,0,0,42,54,170,,,,,,,
74,-7,-16,0,0,0,43,50,169,,,,,,,
86,3,-18,0,0,0,44,45,168,,,,,,,
168,41,4,0,-1,2,43,37,166,,,,,,,
244,-34,-26,0,0,0,44,25,161,,,,,,,
282,-69,-66,0,0,0,47,10,158,,,,,,,
179,-5,-46,0,0,-1,49,-2,156,,,,,,,
152,31,-34,0,0,-1,48,-10,154,,,,,,,
86,16,-17,0,1,0,46,-16,153,,,,,,,
12,-17,-11,0,0,0,46,-19,153,,,,,,,
-5,8,2,0,0,0,46,-19,153,,,,,,,
-16,-12,4,0,0,0,46,-18,153,,,,,,,
-20,-8,7,0,0,0,47,-17,154,,,,,,,
-26,2,6,0,0,0,47,-16,154,,,,,,,
-54,-4,6,0,0,0,48,-13,154,,,,,,,
-133,4,8,0,0,-1,48,-8,156,,,,,,,
-208,17,20,-1,0,0,47,0,160,,,,,,,
-120,34,27,0,0,0,46,10,162,,,,,,,
-39,19,25,0,0,0,44,14,162,,,,,,,
-21,-9,7,0,0,0,44,16,161,,,,,,,
2,-18,-6,0,0,0,44,17,162,,,,,,,
14,-26,-12,0,0,0,45,16,162,,,,,,,
98,-111,-11,1,0,3,48,14,161,,,,,,,
111,-100,-61,0,0,-1,54,7,159,,,,,,,
130,-53,-102,0,-1,-1,58,-5,160,,,,,,,
93,33,-69,0,-1,-1,57,-16,161,,,,,,,
56,89,-25,-1,0,-1,54,-21,162,,,,,,,
176,38,-2,1,0,1,51,-26,158,,,,,,,
232,64,-55,-1,-1,-1,48,-37,154,,,,,,,
124,84,-25,0,1,-1,44,-44,151,,,,,,,
35,64,0,0,1,0,41,-45,149,,,,,,,
60,68,-34,0,1,0,38,-46,148,,,,,,,
177,84,-65,0,0,3,34,-51,147,,,,,,,
164,45,-80,4,-1,0,29,-60,145,,,,,,,
36,-43,-24,-1,0,-1,27,-65,147,,,,,,,
-56,-106,50,0,0,-1,29,-66,148,,,,,,,
-84,-54,33,1,-1,0,33,-64,150,,,,,,,
-49,-7,-9,-1,0,0,34,-62,152,,,,,,,
-32,39,0,0,0,0,33,-59,152,,,,,,,
-11,11,0,0,0,0,32,-57,152,,,,,,,
-11,22,-4,0,0,0,32,-56,151,,,,,,,
0,5,-22,1,0,0,31,-57,152,,,,,,,
-41,-8,23,1,2,0,31,-55,152,,,,,,,
5,-3,3,0,0,0,32,-55,152,,,,,,,
0,-7,-8,1,0,0,32,-55,152,,,,,,,
32,-51,-33,0,-1,0,32,-58,154,,,,,,,
3,-35,18,1,1,0,33,-60,155,,,,,,,
46,-43,4,0,0,0,34,-63,155,,,,,,,
142,-139,51,2,2,0,37,-73,155,,,,,,,
130,-128,76,0,0,-3,42,-84,151,,,,,,,
157,-99,50,0,0,-2,44,-95,147,,,,,,,
255,-175,80,0,0,0,46,-115,140,,,,,,,
238,-162,22,0,0,1,42,-135,132,,,,,,,
247,-174,-7,0,0,3,37,-151,55,,,,,,,
187,-161,91,1,0,1,30,-164,56,,,,,,,
96,-97,84,0,1,0,25,-173,60,,,,,,,
59,-58,31,0,0,0,22,-177,61,,,,,,,
96,-65,75,-1,-2,-1,19,177,64,,,,,,,
76,-32,34,-1,0,0,17,172,65,,,,,,,
39,10,24,0,-1,0,17,170,66,,,,,,,
46,70,22,0,0,0,18,167,67,,,,,,,
32,37,2,2,0,0,21,165,67,,,,,,,
20,-51,-7,2,-1,0,20,164,67,,,,,,,
-22,-110,32,0,0,0,16,164,67,,,,,,,
-7,-107,24,-1,1,1,10,165,68,,,,,,,
-17,-62,-47,0,0,1,7,166,66,,,,,,,
-61,-89,-79,0,0,1,4,168,63,,,,,,,
-60,-131,-48,-1,0,0,-1,172,59,,,,,,,
-37,-48,-30,1,0,0,-5,174,58,,,,,,,
-53,-90,-105,1,0,0,-7,176,53,,,,,,,
-48,-111,-58,-1,0,0,-12,177,49,,,,,,,
-48,-104,-52,0,0,0,-17,179,47,,,,,,,
-33,-62,-17,-1,-1,0,-22,-179,43,,,,,,,
7,-14,20,1,0,0,-23,-178,45,,,,,,,
-6,-57,-35,0,0,1,-25,-178,44,,,,,,,
10,-117,-108,0,1,0,-29,179,39,,,,,,,
71,-114,-24,-1,-3,0,-35,175,38,,,,,,,
66,-105,-194,0,-1,1,-39,167,33,,,,,,,
75,-89,-291,-1,0,3,-40,152,79,,,,,,,
71,-195,-325,3,1,1,-35,135,93,,,,,,,
73,-279,-297,1,1,0,-31,119,95,,,,,,,
64,-268,-240,-1,1,1,-24,106,94,,,,,,,
-2,-168,-116,-3,-3,-3,-19,100,90,,,,,,,
1,45,-100,-3,0,0,-14,99,94,,,,,,,
39,54,-65,1,0,0,-10,98,102,,,,,,,
20,-99,-100,4,0,2,-6,96,104,,,,,,,
24,-33,-38,0,1,0,-4,95,104,,,,,,,
28,-1,-26,0,0,0,-2,93,105,,,,,,,
-19,-3,3,1,0,0,-2,93,105,,,,,,,
-43,-3,7,0,0,0,-2,95,104,,,,,,,
1,-18,2,0,0,0,-3,95,103,,,,,,,
-16,7,-3,0,0,-2,-3,96,102,,,,,,,
0,0,16,1,1,0,-3,96,101,,,,,,,
43,-31,16,0,0,0,-4,95,99,,,,,,,
26,0,-16,-1,0,0,-4,93,97,,,,,,,
-7,15,-38,0,0,0,-2,93,99,,,,,,,
22,1,-19,1,1,0,-1,92,100,,,,,,,
29,-21,12,0,0,0,-1,91,99,,,,,,,
19,-22,14,0,0,0,-2,90,97,,,,,,,
19,-11,-2,0,0,0,-2,89,95,,,,,,,
43,-7,-4,0,0,0,-2,87,95,,,,,,,
49,-11,8,0,0,0,-2,85,94,,,,,,,
31,-10,5,0,0,0,-2,83,93,,,,,,,
20,-1,7,0,0,0,-2,82,93,,,,,,,
24,-5,11,0,0,0,-3,81,92,,,,,,,
17,-2,-1,0,0,0,-3,80,91,,,,,,,
7,-12,0,0,0,0,-3,80,91,,,,,,,
-2,-2,-3,0,0,0,-3,80,90,,,,,,,
-4,0,2,0,0,0,-3,80,90,,,,,,,
0,0,5,0,0,0,-3,80,90,,,,,,,
5,-3,2,0,0,0,-3,80,90,,,,,,,
2,0,4,0,0,0,-3,80,89,,,,,,,
2,3,2,0,0,0,-3,80,89,,,,,,,
-2,3,5,0,0,0,-3,80,89,,,,,,,
2,3,0,0,0,0,-3,80,89,,,,,,,
0,0,1,0,0,0,-3,80,89,,,,,,,
1,3,2,0,0,0,-4,80,88,,,,,,,
-1,1,0,0,0,0,-4,80,88,,,,,,,
-7,26,19,0,0,0,-4,80,89,,,,,,,
-18,58,55,0,0,0,-6,81,88,,,,,,,
-43,75,91,0,0,0,-10,83,87,,,,,,,
-50,96,148,0,0,0,-17,86,84,,,,,,,
-52,102,105,0,2,0,-24,91,81,,,,,,,
-47,24,82,-1,0,-1,-28,95,79,,,,,,,
-51,28,95,0,0,0,-32,97,74,,,,,,,
-49,28,116,0,0,0,-37,102,69,,,,,,,
-55,45,64,0,1,0,-41,107,64,,,,,,,
-31,8,76,0,-1,0,-43,111,61,,,,,,,
-91,75,125,-1,-1,2,-47,118,53,,,,,,,
-147,187,147,-1,0,1,-48,135,45,,,,,,,
-159,181,205,1,0,0,-45,157,31,,,,,,,
-109,54,156,0,2,1,-42,174,357,,,,,,,
-41,112,112,0,-1,0,-38,-177,2,,,,,,,
-69,88,161,1,0,1,-32,-170,8,,,,,,,
-54,93,194,1,0,1,-26,-163,15,,,,,,,
26,179,183,0,-1,3,-17,-160,23,,,,,,,
-57,236,206,3,2,0,-2,-158,31,,,,,,,
-72,78,148,0,2,0,6,-155,38,,,,,,,
-52,112,149,0,-2,0,13,-153,44,,,,,,,
